isin;name;field;reason;detail;euronext_link;amf_geco_search
FR0014000MR3;EUROFINS SCIENT.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0014000MR3-XPAR;https://geco.amf-france.org
NL0006294274;EURONEXT;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0006294274-XPAR;https://geco.amf-france.org
NL0000009165;HEINEKEN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0000009165-XAMS;https://geco.amf-france.org
NL0011821202;ING GROEP N.V.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0011821202-XAMS;https://geco.amf-france.org
BE0003565737;KBC;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0003565737-XBRU;https://geco.amf-france.org
FR0000121485;KERING;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000121485-XPAR;https://geco.amf-france.org
NL0000009538;KON.PHILIPS N.V.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0000009538-XAMS;https://geco.amf-france.org
NL0011794037;KONINKLIJKE AHOLD DELHAIZE N.V.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0011794037-XAMS;https://geco.amf-france.org
NL0000009082;KPN KON;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0000009082-XAMS;https://geco.amf-france.org
FR0010307819;LEGRAND;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0010307819-XPAR;https://geco.amf-france.org
FR0000121014;LVMH;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000121014-XPAR;https://geco.amf-france.org
FR001400AJ45;MICHELIN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR001400AJ45-XPAR;https://geco.amf-france.org
NL0010773842;NN GROUP;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0010773842-XAMS;https://geco.amf-france.org
FR0000133308;ORANGE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000133308-XPAR;https://geco.amf-france.org
FR0000120693;PERNOD RICARD;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000120693-XPAR;https://geco.amf-france.org
NL0013654783;PROSUS;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0013654783-XAMS;https://geco.amf-france.org
FR0000130577;PUBLICIS GROUPE SA;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000130577-XPAR;https://geco.amf-france.org
FR0000131906;RENAULT;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000131906-XPAR;https://geco.amf-france.org
FR0000073272;SAFRAN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000073272-XPAR;https://geco.amf-france.org
FR0000125007;SAINT GOBAIN;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000125007-XPAR;https://geco.amf-france.org
FR0000130809;SOCIETE GENERALE;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000130809-XPAR;https://geco.amf-france.org
NL00150001Q9;STELLANTIS NV;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL00150001Q9-XPAR;https://geco.amf-france.org
FR0013326246;UNIBAIL-RODAMCO-WESTFIELD;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0013326246-XPAR;https://geco.amf-france.org
NL0015000IY2;UNIVERSAL MUSIC GROUP;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/NL0015000IY2-XAMS;https://geco.amf-france.org
FR0000124141;VEOLIA ENVIRON.;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000124141-XPAR;https://geco.amf-france.org
FR0000125486;VINCI;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/FR0000125486-XPAR;https://geco.amf-france.org
BE0974349814;WAREHOUSES DE PAUW;broker_pea_confirmed;GAP_CRITIQUE_PEA;Confirmation officielle requise, jamais déduite;https://live.euronext.com/en/product/equities/BE0974349814-XBRU;https://geco.amf-france.org
