isin;yahoo_ticker;finnhub_symbol;status;updated_at
IT0001447785;MTV.MI;MTV.MI;RESOLVED;2026-08-07T07:27:49.062104+00:00
IT0001469953;SFT.MI;SFT.MI;RESOLVED;2026-08-07T07:28:46.208415+00:00
IT0003057624;ITW.MI;ITW.MI;RESOLVED;2026-08-07T07:25:57.103827+00:00
IT0003203947;GE.MI;GE.MI;RESOLVED;2026-08-07T07:27:12.474395+00:00
IT0003411417;IEG.MI;IEG.MI;RESOLVED;2026-08-07T07:25:59.245389+00:00
IT0003621783;SSL.MI;SSL.MI;RESOLVED;2026-08-07T07:28:59.117920+00:00
IT0004098510;GSP.MI;GSP.MI;RESOLVED;2026-08-07T07:27:06.027511+00:00
IT0004552359;KME.MI;KME.MI;RESOLVED;2026-08-07T07:26:53.045022+00:00
IT0004724107;RAT.MI;RAT.MI;RESOLVED;2026-08-07T07:28:48.353294+00:00
IT0004931496;RCS.MI;RCS.MI;RESOLVED;2026-08-07T07:28:50.496441+00:00
IT0005108219;IGV.MI;IGV.MI;RESOLVED;2026-08-07T07:27:51.213254+00:00
IT0005215329;FF.MI;FF.MI;RESOLVED;2026-08-07T07:27:29.673266+00:00
IT0005221517;GPI.MI;GPI.MI;RESOLVED;2026-08-07T07:27:27.526117+00:00
IT0005245508;INDB.MI;INDB.MI;RESOLVED;2026-08-07T07:28:04.144218+00:00
IT0005275778;NDT.MI;NDT.MI;RESOLVED;2026-08-07T07:26:33.684049+00:00
IT0005283640;SERI.MI;SERI.MI;RESOLVED;2026-08-07T07:28:39.757764+00:00
IT0005345233;GHC.MI;GHC.MI;RESOLVED;2026-08-07T07:27:03.876512+00:00
IT0005438046;IOT.MI;IOT.MI;RESOLVED;2026-08-07T07:28:32.148333+00:00
IT0005481855;MET.MI;MET.MI;RESOLVED;2026-08-07T07:26:50.904047+00:00
IT0005572778;JUVE.MI;JUVE.MI;RESOLVED;2026-08-07T07:26:09.990204+00:00
IT0005619843;LNDR.MI;LNDR.MI;RESOLVED;2026-08-07T07:25:39.856501+00:00
IT0005713232;OROX.MI;OROX.MI;RESOLVED;2026-08-07T07:27:14.612751+00:00
NL0000371243;NEDAP.AS;NEDAP.AS;RESOLVED;2026-08-07T07:26:31.536899+00:00
NL0000378669;PORF.AS;PORF.AS;RESOLVED;2026-08-07T07:26:42.293637+00:00
NL0000440311;HOLCO.AS;HOLCO.AS;RESOLVED;2026-08-07T07:27:18.935261+00:00
NL0000488153;MOP.BR;MOP.BR;RESOLVED;2026-08-07T07:26:18.603622+00:00
NL0000852523;TWEKA.AS;TWEKA.AS;RESOLVED;2026-08-07T07:25:33.393432+00:00
NL0000852531;KENDR.AS;KENDR.AS;RESOLVED;2026-08-07T07:26:14.289301+00:00
NL0000852564;AALB.AS;AALB.AS;RESOLVED;2026-08-07T07:25:31.254365+00:00
NL0009169515;EARTH.AS;EARTH.AS;RESOLVED;2026-08-07T07:28:12.762423+00:00
NL0009391242;HYDRA.AS;HYDRA.AS;RESOLVED;2026-08-07T07:26:59.495398+00:00
NL0010545679;LVIDE.AS;LVIDE.AS;RESOLVED;2026-08-07T07:25:46.299745+00:00
NL0010556726;HWK.AS;HWK.AS;RESOLVED;2026-08-07T07:28:25.701629+00:00
NL0012015705;TKWY.AS;TKWY.AS;RESOLVED;2026-08-07T07:25:35.548283+00:00
NL0014332678;JDEP.AS;JDEP.AS;RESOLVED;2026-08-07T07:25:37.709753+00:00
NO0003054108;MOWI.OL;MOWI.OL;RESOLVED;2026-08-07T07:25:29.113624+00:00
PTFXD0AM0018;FLEXD.LS;FLEXD.LS;RESOLVED;2026-08-07T07:27:31.819755+00:00
PTGMC0AM0003;MCP.LS;MCP.LS;RESOLVED;2026-08-07T07:26:48.722739+00:00
PTIBS0AM0008;IBS.LS;IBS.LS;RESOLVED;2026-08-07T07:25:26.971865+00:00
PTIPR0AM0000;IPR.LS;IPR.LS;RESOLVED;2026-08-07T07:26:01.405521+00:00
PTMFR0AM0003;MAR.LS;MAR.LS;RESOLVED;2026-08-07T07:26:25.073535+00:00
PTPAD0AM0007;GLINT.LS;GLINT.LS;RESOLVED;2026-08-07T07:27:23.236407+00:00
PTTD10AM0000;TDSA.LS;TDSA.LS;RESOLVED;2026-08-07T07:25:24.823198+00:00
