isin;ticker;official_listing_date;first_observed_date;exchange;euronext_location;official_symbol;official_name;source_name;source_url;evidence_level;validation_status;source_run;source_artifact_sha256
IT0005717241;ALMS.MI;2026-06-29;2026-06-29;Euronext Growth;Milan;ALMS;Alia Mentis;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/alia-mentis;A;EXACT_ISIN_OFFICIAL_LISTING_DATE;32414686922;db1e57e2219f2b879b64e50665ade350f25c5e2653e270c3182894d2bb1783a1
FR0014018Y10;ALLSF.PA;2026-07-14;2026-07-14;Euronext Growth;Paris;ALLSF;LE SLIP FRANCAIS;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/slip-francais;A;EXACT_ISIN_OFFICIAL_LISTING_DATE;32414686922;db1e57e2219f2b879b64e50665ade350f25c5e2653e270c3182894d2bb1783a1
IT0005713232;OROX.MI;2026-07-14;2026-07-14;Euronext;Milan;OROX;Gens Aurea;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/gens-aurea;A;EXACT_ISIN_OFFICIAL_LISTING_DATE;32414686922;db1e57e2219f2b879b64e50665ade350f25c5e2653e270c3182894d2bb1783a1
IT0005722191;GPSY.MI;2026-07-22;2026-07-22;Euronext Growth;Milan;GPSY;GIUNTI PSYCHOMETRICS HOLDING;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/giunti-psychometrics-holding;A;EXACT_ISIN_OFFICIAL_LISTING_DATE;32414686922;db1e57e2219f2b879b64e50665ade350f25c5e2653e270c3182894d2bb1783a1
IT0005720500;FPT.MI;2026-07-27;2026-07-27;Euronext Growth;Milan;FPT;First Point;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/first-point;A;EXACT_ISIN_OFFICIAL_LISTING_DATE;32414686922;db1e57e2219f2b879b64e50665ade350f25c5e2653e270c3182894d2bb1783a1
IT0005723074;GDT.MI;2026-07-28;2026-07-28;Euronext Growth;Milan;GDT;Guidotti Ships S.p.A.;EURONEXT_OFFICIAL_IPO_SHOWCASE;https://live.euronext.com/en/ipo-showcase/guidotti-ships-spa;A;EXACT_ISIN_OFFICIAL_LISTING_DATE;32414686922;db1e57e2219f2b879b64e50665ade350f25c5e2653e270c3182894d2bb1783a1
