isin;yahoo_ticker;ticker_primary;mic;exchange;currency;validation_status;source_url;as_of
LU1079842321;CAPE.PA;CAPE;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTCAPE/;2026-08-06
IE00B910VR50;EMUE.PA;EMUE;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTEMUE/;2026-08-06
IE00B5M1WJ87;EUDV.PA;EUDV;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTEUDV/;2026-08-06
LU0136234068;UIM1.AS;UIM1;XAMS;Euronext Amsterdam;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rAUIM1/;2026-08-06
LU0629460675;UIMR.AS;UIMR;XAMS;Euronext Amsterdam;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rAUIMR/;2026-08-06
IE00BKX55S42;VERX.AS;VERX;XAMS;Euronext Amsterdam;EUR;FINAL_VALIDATED;https://www.vanguard.co.uk/professional/product/etf/equity/9524/ftse-developed-europe-ex-uk-ucits-etf-eur-distributing;2026-08-06
IE00BQZJBX31;EEI.PA;EEI;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTEEI/;2026-08-06
IE00BZ56TQ67;EGRA.PA;EGRA;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTEGRA/;2026-08-06
FR001400KE06;COSE.PA;COSE;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTCOSE/;2026-08-06
FR0013412012;PAASI.PA;PAASI;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPAASI/;2026-08-06
FR0011869312;PAEJ.PA;PAEJ;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPAEJ/;2026-08-06
FR0011871078;PASI.PA;PASI;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPASI/;2026-08-06
FR0011882364;AWAT.PA;AWAT;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTAWAT/;2026-08-06
FR0011440478;PLEM.PA;PLEM;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPLEM/;2026-08-06
FR0013412020;PAEEM.PA;PAEEM;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPAEEM/;2026-08-06
FR0013346681;OBLI.PA;OBLI;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTOBLI/;2026-08-06
FR0011869304;PMEH.PA;PMEH;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPMEH/;2026-08-06
FR0011869320;PINR.PA;PINR;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPINR/;2026-08-06
FR0013411980;PTPXE.PA;PTPXE;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPTPXE/;2026-08-06
FR0013411998;PTPXH.PA;PTPXH;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPTPXH/;2026-08-06
FR001400S9V0;MLUX.PA;MLUX;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTMLUX/;2026-08-06
FR0013412004;PALAT.PA;PALAT;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPALAT/;2026-08-06
FR001400ZGO4;PEMS.PA;PEMS;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPEMS/;2026-08-06
FR0013412038;PCEU.PA;PCEU;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPCEU/;2026-08-06
LU1681042864;CU2.PA;CU2;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTCU2/;2026-08-06
FR001400KH45;USVE.PA;USVE;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTUSVE/;2026-08-06
FR001400U5Q4;DCAM.PA;DCAM;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTDCAM/;2026-08-06
FR0011871110;PUST.PA;PUST;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPUST/;2026-08-06
FR001400ZGR7;PNAS.PA;PNAS;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPNAS/;2026-08-06
FR0013412285;PE500.PA;PE500;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPE500/;2026-08-06
FR0013412293;P500H.PA;P500H;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTP500H/;2026-08-06
FR0011871128;PSP5.PA;PSP5;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPSP5/;2026-08-06
FR0011871136;PSPH.PA;PSPH;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPSPH/;2026-08-06
FR0011869270;PDJE.PA;PDJE;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPDJE/;2026-08-06
FR001400ZGS5;PSPS.PA;PSPS;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPSPS/;2026-08-06
FR0013412269;PANX.PA;PANX;XPAR;Euronext Paris;EUR;FINAL_VALIDATED;https://www.boursorama.com/bourse/trackers/cours/1rTPANX/;2026-08-06
