isin;name;yahoo_ticker;canonical_validation;canonical_reference_rule
LU1598757687;ARCELORMITTAL SA;MT.AS;API_YFINANCE_CONFIRMED_2026_08_09;1429_CANONICAL_PLUS_400_VALIDATED_QUARANTINE
BE0974293251;AB INBEV;ABI.BR;API_YFINANCE_CONFIRMED_2026_08_09;1429_CANONICAL_PLUS_400_VALIDATED_QUARANTINE
NL0011540547;ABN AMRO BANK N.V.;ABN.AS;API_YFINANCE_CONFIRMED_2026_08_09;1429_CANONICAL_PLUS_400_VALIDATED_QUARANTINE
FR0000120404;ACCOR;AC.PA;API_YFINANCE_CONFIRMED_2026_08_09;1429_CANONICAL_PLUS_400_VALIDATED_QUARANTINE
